organization_id,email,phone,address
1,starfishanimalrescuer@gmail.com,1234567890,"Batavia, Batavia, IL, 60510, US"
2,adoptions@theanimalleague.org,(352) 429-6334,"4648 Baptist Island Road, Groveland FL 32736, Clermont, FL, 34712, US"
3,adopt@freedom-ride.org,1234567890,"Raleigh, NC, 27604, US"
4,lhkyrescue@gmail.com,1234567890,"Cincinnati, OH, 45211, US"
5,paws@northwoodshumanesociety.org,(715) 634-5394,"PO Box 82, 10812N OBrien Hill Road, Hayward, WI, 54843, US"
6,maggiesmissionrescue@gmail.com,1234567890,"Wadsworth, OH, 44281, US"
7,pdeal@las-cruces.org,(575) 382-0018,"3551 Bataan Memorial West, Las Cruces, NM, 88012, US"
8,naiaspetrescue@gmail.com,954947PETS,"Pompano Beach, FL, 33064, US"
9,needypawsstl@gmail.com,1234567890,"St. Louis, MO, 63125, US"
10,adopt57@aheinz57.com,(515) 834-1157,"4002 Ash Street, De Soto, IA, 50069, US"
11,wacltd@telus.net,(780) 352-7006,"wetaskiwin, AB, t9a 2j4, CA"
12,info@hsnb.org,(707) 645-7905,"1121 Sonoma Blvd, Vallejo, CA, 94590, US"
13,OSCARRescue@yahoo.com,1234567890,"Sparta, NJ, 07871, US"
14,nicolenariel@yahoo.com,1234567890,"New Orleans, LA, 70124, US"
15,Hhpmontana1@gmail.com,(406) 860-8735,"2910 Hannon Road, Billings, MT, 59101, US"
16,Crystal@hartmanshaven.org,1234567890,"Conover, NC, 28613, US"
17,wcras@wilco.org,512-943-3322  ,"1855 SE Inner Loop, Georgetown, TX, 78626, US"
18,aalslidell@gmail.com,985-646-4267,"2700 Terrace Ave, Slidell, LA, 70458, US"
19,aap1@frontiernet.net,(217) 835-2538,"807 Stewart Rd, P.O.Box 53, Benld, IL, 62009, US"
20,pets@tricountyhumanesociety.org,320-252-0896,"735 8th St. NE, PO Box 701, Saint Cloud, MN, 56302, US"
21,info@highlandlakescaninerescue.org,(830) 693-0569,"Marble Falls, TX, 78654, US"
22,adopt@ilovefamilydog.org,1234567890,"San Francisco, CA, 94103, US"
23,kandkinfodesk@gmail.com,(479) 551-2221,"4800 South 46th Street, Fort Smith, AR, 72903, US"
24,sparkyandthegang@yahoo.com,1234567890,"Long Beach, CA, 90804, US"
25,abc@gmail.com,(602) 506-2765,"2500 S. 27th Avenue, (27th and Durango), Phoenix, AZ, 85009, US"
26,emotional.rescue1@outlook.com,1234567890,"Hastings, MN, 55033, US"
27,fourpreciouspaws1@yahoo.com,(765) 450-6750,"3117 S. LaFountain, Kokomo, IN, 46902, US"
28,needypawsstl@gmail.com,1234567890,"St. Louis, MO, 63125, US"
29,eaplevergreen@eapl.com,(303) 674-6442,"PO Box 2517, Westminster, CO, 80021, US"
30,adopt@ilovefamilydog.org,1234567890,"San Francisco, CA, 94103, US"
31,info@fairhumane.org,(740) 687-0627,"1721 Granville Pike, www.fairhumane.org, Lancaster, OH, 43130, US"
32,animalcontrol@greenbeltmd.gov,(301) 474-6124,"550A Crescent Road, Greenbelt, MD, 20770, US"
